StartSceneID	StartSceneName	ToSceneID	ToSceneName	NPCTeleportName	TeleportCost	PositionX	PositionY
0	Lạc Dương	8	Đôn Hoàng	N/A	0	45	248
0	Lạc Dương	3	Tung Sơn	N/A	0	256	457
0	Lạc Dương	18	Nhạn Nam	N/A	0	443	261
0	Lạc Dương	112	Huyền Vũ Đảo	Vân Hàm Nhi	0	275	293
0	Lạc Dương	201	Thánh Thú Sơn	Vân Hàm Nhi	0	275	293
0	Lạc Dương	1	Tô Châu	Ngô Đức Xương	0	235	321
0	Lạc Dương	2	Đại Lý	Ngô Đức Xương	0	235	321
0	Lạc Dương	246	Lâu Lan	Ngô Đức Xương	0	235	321
0	Lạc Dương	260	Thúc Hà Cổ Trấn	Ngô Đức Xương	0	235	321
0	Lạc Dương	9	Thiếu Lâm Tự	Ngô Đức Xương	0	235	321
0	Lạc Dương	11	Quang Minh Điện	Ngô Đức Xương	0	235	321
0	Lạc Dương	10	Cái Bang Tổng Đà	Ngô Đức Xương	0	235	321
0	Lạc Dương	12	Võ Đang Sơn	Ngô Đức Xương	0	235	321
0	Lạc Dương	15	Nga My Sơn	Ngô Đức Xương	0	235	321
0	Lạc Dương	16	Tinh Túc Hải	Ngô Đức Xương	0	235	321
0	Lạc Dương	13	Thiên Long Tự	Ngô Đức Xương	0	235	321
0	Lạc Dương	17	Thiên Sơn	Ngô Đức Xương	0	235	321
0	Lạc Dương	14	Lăng Ba Động	Ngô Đức Xương	0	235	321
0	Lạc Dương	284	Mộ Dung Sơn Trang	Ngô Đức Xương	0	235	321
0	Lạc Dương	34	Nam Hải	Xa Truyền Nghĩa	1	218	336
0	Lạc Dương	28	Nam Chiêu	Xa Truyền Nghĩa	1	218	336
0	Lạc Dương	22	Trường Bạch Sơn	Xa Truyền Nghĩa	1	218	336
1	Tô Châu	30	Tây Hồ	N/A	0	278	413
1	Tô Châu	4	Thái Hồ	N/A	0	279	43
1	Tô Châu	5	Kính Hồ	N/A	0	65	270
1	Tô Châu	0	Lạc Dương	Lý Thừa Phong	0	202	257
1	Tô Châu	2	Đại Lý	Lý Thừa Phong	0	202	257
1	Tô Châu	246	Lâu Lan	Lý Thừa Phong	0	202	257
1	Tô Châu	260	Thúc Hà Cổ Trấn	Lý Thừa Phong	0	202	257
1	Tô Châu	9	Thiếu Lâm Tự	Lý Thừa Phong	0	202	257
